sample_id,noisy_path,clean_path,split
p232_001,data/raw/voicebank/noisy_testset_wav/p232_001.wav,data/raw/voicebank/clean_testset_wav/p232_001.wav,test
p232_002,data/raw/voicebank/noisy_testset_wav/p232_002.wav,data/raw/voicebank/clean_testset_wav/p232_002.wav,test
p232_003,data/raw/voicebank/noisy_testset_wav/p232_003.wav,data/raw/voicebank/clean_testset_wav/p232_003.wav,test
p232_005,data/raw/voicebank/noisy_testset_wav/p232_005.wav,data/raw/voicebank/clean_testset_wav/p232_005.wav,test
p232_006,data/raw/voicebank/noisy_testset_wav/p232_006.wav,data/raw/voicebank/clean_testset_wav/p232_006.wav,test
p232_007,data/raw/voicebank/noisy_testset_wav/p232_007.wav,data/raw/voicebank/clean_testset_wav/p232_007.wav,test
p232_009,data/raw/voicebank/noisy_testset_wav/p232_009.wav,data/raw/voicebank/clean_testset_wav/p232_009.wav,test
p232_010,data/raw/voicebank/noisy_testset_wav/p232_010.wav,data/raw/voicebank/clean_testset_wav/p232_010.wav,test
p232_011,data/raw/voicebank/noisy_testset_wav/p232_011.wav,data/raw/voicebank/clean_testset_wav/p232_011.wav,test
p232_012,data/raw/voicebank/noisy_testset_wav/p232_012.wav,data/raw/voicebank/clean_testset_wav/p232_012.wav,test
p232_013,data/raw/voicebank/noisy_testset_wav/p232_013.wav,data/raw/voicebank/clean_testset_wav/p232_013.wav,test
p232_014,data/raw/voicebank/noisy_testset_wav/p232_014.wav,data/raw/voicebank/clean_testset_wav/p232_014.wav,test
p232_015,data/raw/voicebank/noisy_testset_wav/p232_015.wav,data/raw/voicebank/clean_testset_wav/p232_015.wav,test
p232_016,data/raw/voicebank/noisy_testset_wav/p232_016.wav,data/raw/voicebank/clean_testset_wav/p232_016.wav,test
p232_017,data/raw/voicebank/noisy_testset_wav/p232_017.wav,data/raw/voicebank/clean_testset_wav/p232_017.wav,test
p232_019,data/raw/voicebank/noisy_testset_wav/p232_019.wav,data/raw/voicebank/clean_testset_wav/p232_019.wav,test
p232_020,data/raw/voicebank/noisy_testset_wav/p232_020.wav,data/raw/voicebank/clean_testset_wav/p232_020.wav,test
p232_021,data/raw/voicebank/noisy_testset_wav/p232_021.wav,data/raw/voicebank/clean_testset_wav/p232_021.wav,test
p232_022,data/raw/voicebank/noisy_testset_wav/p232_022.wav,data/raw/voicebank/clean_testset_wav/p232_022.wav,test
p232_023,data/raw/voicebank/noisy_testset_wav/p232_023.wav,data/raw/voicebank/clean_testset_wav/p232_023.wav,test
